rank,owner_address,owner_type,ownership_sources,non_custodial_direct_cpal,non_custodial_direct_cpal_raw,attributed_backstop_cpal_equivalent,attributed_backstop_cpal_equivalent_raw,unattributed_backstop_custody_cpal,unattributed_backstop_custody_cpal_raw,flattened_total_cpal,flattened_total_cpal_raw,share_of_total_supply_percent_12dp,backstop_pool_count,backstop_pool_names,backstop_pool_addresses
215,GCGMT4G6KSNXME2ZUQU4RCKEKAPH3LVXWJ3HK23J5YK37LIOOONTROBN,account,backstop_attributed,0.0000000,0,340.9325261,3409325261,0.0000000,0,340.9325261,3409325261,0.002333546062,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
216,GDW4ZDNWSLMKWKSHBTHKCURKMNFEWKNE2KYJ3XSNDMCC4UTNLJKRA5ZJ,account,backstop_attributed,0.0000000,0,340.1247020,3401247020,0.0000000,0,340.1247020,3401247020,0.002328016831,2,Fixed|YieldBlox,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD|CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
217,GBKCQZ3LGRZWTOGC3XBX3RSV6KGW6ILK4HNN3ZP4YCFFU7P73VQ4UA6I,account,backstop_attributed,0.0000000,0,337.7395512,3377395512,0.0000000,0,337.7395512,3377395512,0.002311691433,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
218,GDPCWNUKVGB6PY256ENVOC3X7RKTWSETXHIM55E7PXCGT4J3ZMUK5WVG,account,direct+backstop_attributed,0.1700980,1700980,329.4374460,3294374460,0.0000000,0,329.6075440,3296075440,0.002256031113,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
219,GDKNDOQL23432Z7HMTFELXPFXAAUDWDJZXOTR73TSWY4XUGN2YMQHVM3,account,direct+backstop_attributed,314.7310353,3147310353,0.0375455,375455,0.0000000,0,314.7685808,3147685808,0.002154464376,1,YieldBlox,CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
220,GDVQWV665JVBFBMXLAUYLH4XK766MATVAUDQAV7L32POWGT2CFGT4F5R,account,backstop_attributed,0.0000000,0,307.4126239,3074126239,0.0000000,0,307.4126239,3074126239,0.002104115809,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
221,GDRUHABTMTXDDEICK6ZVEQZARU7RDE27B6LM6SGRXG7CRB5JDAZJ7KWJ,account,backstop_attributed,0.0000000,0,297.7215062,2977215062,0.0000000,0,297.7215062,2977215062,0.002037784005,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
222,GCLSPJRCWAEK4O7MEUY7HYH67ASGFWVZMBM7GXLLC3GKERJ5PLFYOYPX,account,backstop_attributed,0.0000000,0,287.0246898,2870246898,0.0000000,0,287.0246898,2870246898,0.001964568597,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
223,GAF3CZTL6CFUPO2T37QL6WO5UANPOL5GQ3UN46SZNCNOWIYZRXG6YOFS,account,backstop_attributed,0.0000000,0,281.3658494,2813658494,0.0000000,0,281.3658494,2813658494,0.001925836110,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
224,GC4XQZBJS6OABA7VSK2PYFU7PVWZS22TTEDA4XUQCALXBBNYKZSBTZPY,account,backstop_attributed,0.0000000,0,280.3958545,2803958545,0.0000000,0,280.3958545,2803958545,0.001919196885,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
225,GDUD75R5KJ5BNDBEEWUNFRZJ3EDOHLBJP4F6MEEB2PGHAVMQF3TKJPBJ,account,backstop_attributed,0.0000000,0,270.1054970,2701054970,0.0000000,0,270.1054970,2701054970,0.001848763525,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
226,GD46UAKTBQYCGG7FW6BKYOWFGHWAWJU6TKMDHYM3RIATZZ7OE4KJECGH,account,direct+backstop_attributed,222.0183040,2220183040,40.4764621,404764621,0.0000000,0,262.4947661,2624947661,0.001796671132,1,YieldBlox,CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
227,GC5SU2SJ4VFGJE7RZZHVLOYRE4JJRBK5SULZHKYSHMUOP3UIGB3653L4,account,backstop_attributed,0.0000000,0,259.7509800,2597509800,0.0000000,0,259.7509800,2597509800,0.001777891020,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
228,GC72GBUP2RYKF7UPAAFTCTYZ37Z7W6IRYE6MPKWSDXWCVGFIVO6RV7FN,account,backstop_attributed,0.0000000,0,253.4389630,2534389630,0.0000000,0,253.4389630,2534389630,0.001734687801,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
229,CBUTN4KJSULJAUZYTYIGSMYAOO7PBJSAQ5OP6UTGYHOXA6UQYBAEOBB3,contract,direct,253.2073540,2532073540,0.0000000,0,0.0000000,0,253.2073540,2532073540,0.001733102531,0,,
230,GDID3OX5UATDL3FTQ7BWSDIHSWMXXZRLFVKXCZ2K4CJNVFYTGH6EWSVC,account,backstop_attributed,0.0000000,0,248.8409451,2488409451,0.0000000,0,248.8409451,2488409451,0.001703216217,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
231,GB7NZNREBS6H6PYKVOF7FJDQMSKRSGWIE6IWULLJUZVAX73MTUL6NFF4,account,backstop_attributed,0.0000000,0,225.4905424,2254905424,0.0000000,0,225.4905424,2254905424,0.001543392099,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
232,GCZWQYXSW4AD62DEF5PBEZAKMSUKM6FCJ2YPLXGE4IBQJXENG6KSLIUC,account,backstop_attributed,0.0000000,0,224.6246579,2246246579,0.0000000,0,224.6246579,2246246579,0.001537465468,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
233,GBEF2L62K3K4AXIAHE6RKNXMX3S67D3J7TPXKY3YZQPLBDEHBWYJ6F62,account,backstop_attributed,0.0000000,0,224.0623770,2240623770,0.0000000,0,224.0623770,2240623770,0.001533616881,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
234,GCSM6QASLFOSOPBOQLOQ3YBOJOZQBHVLXCP3PWCUNB2X342IX2HQ622F,account,backstop_attributed,0.0000000,0,222.6010964,2226010964,0.0000000,0,222.6010964,2226010964,0.001523615003,1,Etherfuse,CDMAVJPFXPADND3YRL4BSM3AKZWCTFMX27GLLXCML3PD62HEQS5FPVAI
235,GCXZG27ZTUKA7RF37OVIAI73777QYYSV6SKYQCE6HLVFANWXVKTEI7KE,account,backstop_attributed,0.0000000,0,206.7522434,2067522434,0.0000000,0,206.7522434,2067522434,0.001415135977,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
236,GC6GZHQ2R2BYQWT6HMK7CZKZS6AWN7OXW5ZVEAQOHTXIUKJ2BVYIQTE4,account,backstop_attributed,0.0000000,0,203.5909404,2035909404,0.0000000,0,203.5909404,2035909404,0.001393498129,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
237,GAKL6IWNAFDFETXPIHBNOUVD5LSZFFPFHPCN3XLATIKGFJOMIF5R7JYV,account,backstop_attributed,0.0000000,0,202.5576804,2025576804,0.0000000,0,202.5576804,2025576804,0.001386425880,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
238,GCY6N3Y3E7FQ65IGRBFSPXELJXMIFYZQCWJTSCFBJDBKSHJOLL7SBG6D,account,backstop_attributed,0.0000000,0,199.0993404,1990993404,0.0000000,0,199.0993404,1990993404,0.001362754933,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
239,GA3UP2PHZQSZLGP5QEGJBXVWCU4PU2CFY7NDP4JG7VZWM7GC7TGTIMCB,account,backstop_attributed,0.0000000,0,196.1651732,1961651732,0.0000000,0,196.1651732,1961651732,0.001342671738,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
240,GCC3DIKMODNJMHSWEMPDZNF3BO55GK4SSWPRSOQCQHRE5R53FCQYTMBY,account,backstop_attributed,0.0000000,0,187.5413044,1875413044,0.0000000,0,187.5413044,1875413044,0.001283644823,1,YieldBlox,CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
241,GATB4LSZQXX62SLUMYDPGIOWWSYM2QCTHI5SG4SI6JQTX6ODCENKNNP6,account,backstop_attributed,0.0000000,0,184.8959405,1848959405,0.0000000,0,184.8959405,1848959405,0.001265538371,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
242,GC3TIQL2X6LB72RIDZYNKDVCADUZ6BZMGUWPWGCUJJZEQFXIM2IVNQSY,account,backstop_attributed,0.0000000,0,181.9430925,1819430925,0.0000000,0,181.9430925,1819430925,0.001245327314,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
243,GB3SHL4HC77VBLN7KJM4EMWJG7N2JJV45PKSFJSS5EFX6HIB2E3OVEFG,account,direct,178.2697417,1782697417,0.0000000,0,0.0000000,0,178.2697417,1782697417,0.001220184705,0,,
244,GDW2RYFP7NBMWNTE2CCS5TUI3HN3N3PVP46XLJCSXTDKZSWKBTFT35FH,account,backstop_attributed,0.0000000,0,176.7685919,1767685919,0.0000000,0,176.7685919,1767685919,0.001209909938,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
245,GC7WRELSV3MNZLHMNWVC4ADRTTVNEA46FARFQDU6QFJZLHRRV55HS6IV,account,direct+backstop_attributed,26.3168716,263168716,150.0738056,1500738056,0.0000000,0,176.3906772,1763906772,0.001207323264,2,Fixed|YieldBlox,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD|CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
246,GBFUSXHPGWH5C45HRY263MFY5Z63JOQXG4SPKQMURFVTMXYV7Z2QTVB7,account,backstop_attributed,0.0000000,0,168.4735302,1684735302,0.0000000,0,168.4735302,1684735302,0.001153133576,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
247,GC2YM7ZWTKJ7STL272N2VESSRCEANUERDNTYNWDPMQHGTZLY2MC2UIXE,account,backstop_attributed,0.0000000,0,164.6260111,1646260111,0.0000000,0,164.6260111,1646260111,0.001126798854,1,Forex,CBYOBT7ZCCLQCBUYYIABZLSEGDPEUWXCUXQTZYOG3YBDR7U357D5ZIRF
248,GCUZMS67FDE7LEFFM5OP3TXEFXXBJQ7447WW3BUQIVMQHVTNEUXDXKHC,account,backstop_attributed,0.0000000,0,164.3798530,1643798530,0.0000000,0,164.3798530,1643798530,0.001125114001,1,YieldBlox,CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
249,GDP2ZIFJTDZT2R2C4CFSTJJQE2U26FFTAXRXYWPWKW5USEB6ILJBUCOT,account,backstop_attributed,0.0000000,0,163.7245392,1637245392,0.0000000,0,163.7245392,1637245392,0.001120628642,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
250,GB5PQUYVTZM4CXRAGQXUJWTWPZ7VL3LCMUMI7PZEJK3QNIH3V46JA5TG,account,backstop_attributed,0.0000000,0,160.7045258,1607045258,0.0000000,0,160.7045258,1607045258,0.001099957864,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
251,GAORM3N3RH2LVHI47LGFG4WFGI4ZO4KWMGDSYWFPLSWUQC2QOKPUO4ML,account,backstop_attributed,0.0000000,0,159.7151253,1597151253,0.0000000,0,159.7151253,1597151253,0.001093185816,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
252,GBNYPW5RZ6ODXJHCOF7CO5AJCJWG4HR2FW7EDW47UA6TNQDKZJMOTJ3R,account,backstop_attributed,0.0000000,0,159.4519786,1594519786,0.0000000,0,159.4519786,1594519786,0.001091384682,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
253,GDYXHEQ6SPE4LLXZRFCTS6ME4YVU4Z7E4JO2WQ2EA62DHCLI3RJF2PZV,account,backstop_attributed,0.0000000,0,156.5871057,1565871057,0.0000000,0,156.5871057,1565871057,0.001071775779,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
254,GAV7LTQUR6N5MZAJSWSPTK2EPBDTPYLPS3WX7X2YSRJQPVG4W7TZ3JB4,account,backstop_attributed,0.0000000,0,150.9963381,1509963381,0.0000000,0,150.9963381,1509963381,0.001033509223,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
255,GAI6QKZE22FGTOGUO4PQLUPPKJKGZ5P3LQWU7FRZL27ANKDTBG5IALCB,account,backstop_attributed,0.0000000,0,144.3411856,1443411856,0.0000000,0,144.3411856,1443411856,0.000987957380,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
256,GDCRH4L5DJMIQGXT6TFD52LG7NV434HTAT6TSY5L2NIIFRQMKH3YKFEN,account,direct+backstop_attributed,144.0310738,1440310738,0.0171820,171820,0.0000000,0,144.0482558,1440482558,0.000985952393,1,YieldBlox,CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
257,GB737IWLMWJ4OXAY7J3BXUKRRYGMWZDGPD2XQXJS2PKC7TZYLTGUEDIM,account,backstop_attributed,0.0000000,0,143.8489033,1438489033,0.0000000,0,143.8489033,1438489033,0.000984587905,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
258,GBTH2HETHP6JG4LLITOHPDZKFXQXNTAULXYVSMXKZYO3774X2JVIZT52,account,backstop_attributed,0.0000000,0,142.2680354,1422680354,0.0000000,0,142.2680354,1422680354,0.000973767500,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
259,GDUI7TYFVMDIZN7ZTQXOHW7BGV4HCQXGU4DVNUB63ABDUMPXROOVM7LO,account,backstop_attributed,0.0000000,0,135.4558732,1354558732,0.0000000,0,135.4558732,1354558732,0.000927140989,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
260,GA2YLWYKP2TXIVD662LZOH3H4ASJZG74ZINX76EG5LOLRST4H7SCQ3NY,account,backstop_attributed,0.0000000,0,132.7706303,1327706303,0.0000000,0,132.7706303,1327706303,0.000908761581,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
261,GAX6DP3PXYV4OCTWP4JES4YXVHDN5CF5ZLPYW35SIE2HUE5SXC7CISYO,account,backstop_attributed,0.0000000,0,128.8285197,1288285197,0.0000000,0,128.8285197,1288285197,0.000881779419,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
262,GBTC6T3LZ5YXZTKHROU52XVU5XMLFGOREG3E3M3S2M4QIEINRAKOEHOL,account,backstop_attributed,0.0000000,0,121.5025142,1215025142,0.0000000,0,121.5025142,1215025142,0.000831635857,2,Fixed|YieldBlox,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD|CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
263,GAKK7F5LOCROUNEJUVI4IJWU2SPYAPME2UPEY2TD7SGYBQN4ZVWJJANB,account,backstop_attributed,0.0000000,0,118.9567869,1189567869,0.0000000,0,118.9567869,1189567869,0.000814211377,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
264,GCITCZ32ZNAYUVQZBNBG7RLV4YA7LKFNTFG6SN6HGM47L5BYFXG7AEXY,account,backstop_attributed,0.0000000,0,116.8216738,1168216738,0.0000000,0,116.8216738,1168216738,0.000799597386,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
265,GAO2RRDOOQJSESRS4LLJFDRFOJYOWP5OYJHVMOW4VABG5QSO4DXANTSZ,account,backstop_attributed,0.0000000,0,116.2760605,1162760605,0.0000000,0,116.2760605,1162760605,0.000795862883,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
266,GDEU7LRIODDJOCPCMX6H3F2MKWYXBR3AW3TOCB5YBCGWDEKEBDU4EZWZ,account,backstop_attributed,0.0000000,0,114.6188815,1146188815,0.0000000,0,114.6188815,1146188815,0.000784520159,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
267,GDETRURDEE53BKQ2CVFJOVLCCUQW6NGWRCIJ5F7SZQ3OUSYUAWZ5GWEX,account,backstop_attributed,0.0000000,0,111.5012828,1115012828,0.0000000,0,111.5012828,1115012828,0.000763181449,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
268,GCBYMMOSIINFRGFEJKEUGNCUNAOUQYZ6DOQXA47P76UGCUQSXVNWWM3L,account,direct+backstop_attributed,0.0016741,16741,111.3676119,1113676119,0.0000000,0,111.3692860,1113692860,0.000762277984,1,YieldBlox,CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
269,GC5Z4GX6IBUZXKUYOSWNZRNJTQJEIJZTAYG2DANBCGHR5FDO5RIQFHMG,account,backstop_attributed,0.0000000,0,111.1824795,1111824795,0.0000000,0,111.1824795,1111824795,0.000760999369,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
270,GBMZFNU5SVBFSOETKTBZZT5URHWVCW6UQ6SC2SOYCGAQGVIZPHX3RI4U,account,backstop_attributed,0.0000000,0,110.8215879,1108215879,0.0000000,0,110.8215879,1108215879,0.000758529211,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
271,GDP3CNT73Q64UIPEMI6WDXFDEA67DF5CSZ6Y55TCNCXZSNMO4WKTA5ET,account,backstop_attributed,0.0000000,0,108.2384909,1082384909,0.0000000,0,108.2384909,1082384909,0.000740848950,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
272,GDGQU6OLYT7SO43OAKPTQWBDM5HJP3YTEX335R3GUHCX7F4DUJ322D7R,account,backstop_attributed,0.0000000,0,107.4793205,1074793205,0.0000000,0,107.4793205,1074793205,0.000735652734,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
273,GBH45AEJD5P355MK27R3BAPTTJUN6MRDZEDCHJZ4MVJGI2KQFZMA5QYJ,account,direct,104.9300649,1049300649,0.0000000,0,0.0000000,0,104.9300649,1049300649,0.000718204105,0,,
274,GBLQLUATIATW47454PRIX6QHY6YFNKLX5XGJBPGVSUHRVQLOV3GNJIYO,account,backstop_attributed,0.0000000,0,102.6995097,1026995097,0.0000000,0,102.6995097,1026995097,0.000702936851,1,YieldBlox,CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
275,GDBICJJRACMJ5XL3YK7WQBGDQG7RKNUA3DJJJQLTLKMD25C5WP2H3J2S,account,backstop_attributed,0.0000000,0,102.5407894,1025407894,0.0000000,0,102.5407894,1025407894,0.000701850474,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
276,GAL2GBMU2OETKJPBXU4AULN37KROUCJ55PUI2GLRNZ3HMENWXJ56QFMP,account,direct,100.0000000,1000000000,0.0000000,0,0.0000000,0,100.0000000,1000000000,0.000684459793,0,,
277,GCTPZQS7WHYT45B36ZKNFMBI7X2I7GKXU4WCKZUJYHYS3FX7RHHA5HNF,account,direct+backstop_attributed,97.4085111,974085111,0.0116202,116202,0.0000000,0,97.4201313,974201313,0.000666801629,1,YieldBlox,CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
278,GCB2NJ22PJVDRQ4WNGYD2TC2LITRULHGLG5TG6NWBIPQO64JE7OS465W,account,backstop_attributed,0.0000000,0,93.6698319,936698319,0.0000000,0,93.6698319,936698319,0.000641132337,2,Fixed|YieldBlox,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD|CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
279,GBJ7ANOCGDS5QEZNWRL6VETZDYSUV3PZTI5Q7TBE6AVZLGBE3QWLETQO,account,backstop_attributed,0.0000000,0,93.0866915,930866915,0.0000000,0,93.0866915,930866915,0.000637140975,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
280,GAB7355NRRUAB5TGEAKIHS2RP7SZ32JJLF337MF24GFPPPSKEXABURYP,account,direct,92.5778431,925778431,0.0000000,0,0.0000000,0,92.5778431,925778431,0.000633658113,0,,
281,GB5FU5TOXJ7PXERVYSNJM6YEVI5N3OJBIEPPV6VYOCUI32VAAHTEDMMQ,account,backstop_attributed,0.0000000,0,92.3829511,923829511,0.0000000,0,92.3829511,923829511,0.000632324155,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
282,GAB7SXP6ABTIUTGD54PKVGLAAPDO4A7TXMAGP3HPZVKCAYTSJNNAOEEI,account,direct+backstop_attributed,91.8248911,918248911,0.0109541,109541,0.0000000,0,91.8358452,918358452,0.000628579435,1,YieldBlox,CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
283,GCM5O5PPEWBKADRFG2SFHNWLC2E7Q2XOZZZD2M3OZLIKHE3EJ3AMA64Q,account,backstop_attributed,0.0000000,0,90.4091328,904091328,0.0000000,0,90.4091328,904091328,0.000618814163,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
284,GCTO4SIC4S2SZZC2R5LWCQDXBZBN45N2YWVHIR4IEPVOHLDQZDZHRPMF,account,backstop_attributed,0.0000000,0,88.7800939,887800939,0.0000000,0,88.7800939,887800939,0.000607664046,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
285,GBWHCMLO4L5MU2HBWLABOH6PPCYQEXEIA4N4IFTCPOGATPSSIMZZG4BD,account,backstop_attributed,0.0000000,0,88.5543787,885543787,0.0000000,0,88.5543787,885543787,0.000606119117,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
286,GAAOYJTUS2YJ3OZYV4EJE5ASX2LTLMYJOM7WZ7IRNNBFIPY5EHC4P5MC,account,backstop_attributed,0.0000000,0,80.9438382,809438382,0.0000000,0,80.9438382,809438382,0.000554028027,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
287,GA2CR3O7326VP54ALYRHNWWSOQXJYU24Q2BZEGUHJRSDHCCVUSEM24EJ,account,direct+backstop_attributed,1.0874151,10874151,79.3943062,793943062,0.0000000,0,80.4817213,804817213,0.000550865023,1,YieldBlox,CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
288,GAEN2F3J3JTYNPUMEJWW7YHFP3O375NSJ6EXBSHTCBS5HXZAUCPPYIG2,account,backstop_attributed,0.0000000,0,79.6879432,796879432,0.0000000,0,79.6879432,796879432,0.000545431931,1,Orbit,CAE7QVOMBLZ53CDRGK3UNRRHG5EZ5NQA7HHTFASEMYBWHG6MDFZTYHXC
289,CA4DRXJSNICCAFVEN2LP3TO5FX7QL4ZYQ3YUTSCLXCUVUXLTQ4VPZBIS,contract,direct,76.5833522,765833522,0.0000000,0,0.0000000,0,76.5833522,765833522,0.000524182253,0,,
290,GDTQD7CLYU3DI56V2PQRIUO3ZWCL5QKPGJGFHBIPYVABBMM2SD6CVXVX,account,backstop_attributed,0.0000000,0,74.1393938,741393938,0.0000000,0,74.1393938,741393938,0.000507454341,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
291,GDREVXS4I2M4RRNQDUMI5A5GAFTIEQFSB2Y34SNI6K3O6WA6HUXYVMW7,account,backstop_attributed,0.0000000,0,72.8559548,728559548,0.0000000,0,72.8559548,728559548,0.000498669717,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
292,GDUQZKRYOSQEY6CPZ4YB2JLNY5HG7HDKWPF2I2OWWWGVO3Z24PZJODYU,account,direct+backstop_attributed,28.5600557,285600557,41.0098653,410098653,0.0000000,0,69.5699210,695699210,0.000476178137,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
293,GDNACI5NRTKGOURFFDJDCVWSUH4PBAIDYXNBFZFXKPTOHPGHCRNPH5TF,account,backstop_attributed,0.0000000,0,69.2547157,692547157,0.0000000,0,69.2547157,692547157,0.000474020683,1,YieldBlox,CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
294,GAB6HYBE6DZ2ZIDAXVQSJKUQJBEIAYHXTBLUTDQJLKI6S6WJWJ7TMGF5,account,direct,66.5570798,665570798,0.0000000,0,0.0000000,0,66.5570798,665570798,0.000455556450,0,,
