rank,owner_address,owner_type,ownership_sources,non_custodial_direct_cpal,non_custodial_direct_cpal_raw,attributed_backstop_cpal_equivalent,attributed_backstop_cpal_equivalent_raw,unattributed_backstop_custody_cpal,unattributed_backstop_custody_cpal_raw,flattened_total_cpal,flattened_total_cpal_raw,share_of_total_supply_percent_12dp,backstop_pool_count,backstop_pool_names,backstop_pool_addresses
167,GCKBNEKIMERQUCISQBDAALFZ7U3FXALUZDJMQNSL3PK4HAYBIW5MHOOT,account,backstop_attributed,0.0000000,0,1125.2472360,11252472360,0.0000000,0,1125.2472360,11252472360,0.007701864902,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
168,GBPJ2YBLYTXH2VLSEHFAYAOVEFGA62PTLPYKIMTJXV4KPU4WN2ICCOR4,account,backstop_attributed,0.0000000,0,1058.4647260,10584647260,0.0000000,0,1058.4647260,10584647260,0.007244765472,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
169,GCI5XB4IUD42BPV7IMPELNQ6QK7ZRRI4VORLU4CLQQAQYWTHT26XUSRM,account,backstop_attributed,0.0000000,0,1056.0613499,10560613499,0.0000000,0,1056.0613499,10560613499,0.007228315329,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
170,GD7N5NXCQGI7KTXQUT2S6N7RO4SH42ZKTMJMQTBA5QRLVADIHBABFEZ3,account,backstop_attributed,0.0000000,0,988.0615853,9880615853,0.0000000,0,988.0615853,9880615853,0.006762884281,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
171,GBZO5Q5XWPMGM2CSWYSZT6WHLQNOYKES5TL47ILKBSEI3US2R3YVGQNY,account,backstop_attributed,0.0000000,0,939.4508517,9394508517,0.0000000,0,939.4508517,9394508517,0.006430163355,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
172,GD2OKD73SK7OHBSJNOMJ3TFZ6HVSXSEQCZGA5NCWGWDOO6QCB277PQ2Q,account,direct+backstop_attributed,898.4210048,8984210048,0.1071763,1071763,0.0000000,0,898.5281811,8985281811,0.006150064128,1,YieldBlox,CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
173,GDRMYULJE6RYC3WKRKVKFXYBTXMKDOXUXBXQITX7CB7DWZQAQWMGMTCE,account,backstop_attributed,0.0000000,0,876.3264351,8763264351,0.0000000,0,876.3264351,8763264351,0.005998102103,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
174,GAYBKMYJORD53T5ZKG2AARH7HV2SY5RJGXMJBXZCX5GGGXT6YDIX6JD4,account,backstop_attributed,0.0000000,0,867.2205154,8672205154,0.0000000,0,867.2205154,8672205154,0.005935775744,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
175,GDXQ7PQUGQMF2BQUOO4HN5KLCKDCOEFB6WQVBR3AS5Z4RFRRVAIBO2SW,account,backstop_attributed,0.0000000,0,861.8902554,8618902554,0.0000000,0,861.8902554,8618902554,0.005899292258,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
176,GDQ2FWSVHOPFN25RYZ3QMA577HLSZZ5XOPXFJT4624CPDMPPPS43DZRK,account,backstop_attributed,0.0000000,0,859.6655823,8596655823,0.0000000,0,859.6655823,8596655823,0.005884065265,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
177,GDUNI72QSE7X4L3E2JB737UABNDBEBSD3NBDWLIX52FCGJ4PIZZQ6FKW,account,backstop_attributed,0.0000000,0,848.7524591,8487524591,0.0000000,0,848.7524591,8487524591,0.005809369324,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
